Date,Temperature (°C),Humidity (%),Precipitation (mm)
2025-02-26,-2.1960083852161496,30,9.701208224916936
2024-10-28,11.751465486337501,95,3.3987955585731155
2024-05-02,-5.866455330957717,82,8.453021862878062
2025-01-06,17.5734060729249,31,1.369049679100528
2025-02-18,-9.249107942167825,86,2.648893162156769
2024-11-20,24.730069915354797,81,6.662710899984486
2025-01-02,-4.753628979697469,55,5.446572431712448
2024-08-31,32.84795816014878,27,0.5943318683568666
2024-05-13,29.725181994568914,50,7.422310718902518
2024-12-29,23.713066633956487,50,5.83373007518773
2025-01-14,23.183840811364426,39,6.457999828895161
2024-05-25,-0.6742437839659292,80,7.247741936871818
2025-03-01,-2.582443944375237,68,6.107576993182285
2024-10-01,27.39486085798677,91,8.469347268867672
2024-04-18,15.372472557225699,26,6.688169709238705
2024-07-15,-4.538406362761612,38,7.002662019596588
2024-05-18,-5.32011874983935,45,5.402534715717083
2025-03-11,3.0681997137514383,63,3.5823512417547687
2024-07-17,14.757315263719942,62,9.483807604995828
2024-10-15,38.55397334764829,56,2.011484466445086
2025-01-24,-1.9898728097012626,54,4.866090176581443
2025-03-02,3.077600000439176,98,7.309105509862115
2024-06-28,-3.361319703547335,45,4.50825541758789
2024-05-08,18.10629735923814,68,0.9350991389632834
2024-04-07,3.111114227532717,91,9.796955939445253
2024-10-04,13.835367893468195,70,5.890829483408461
2024-08-03,26.375188918393768,100,5.839098190444336
2025-02-06,-5.850512371413826,27,0.4435061964871079
2024-04-25,6.24414923928542,92,0.7050504947943925
2024-11-19,7.253401913048084,88,3.8124449018844553
2024-08-24,11.334694259880894,72,9.263824310762963
2024-09-19,-0.488409816890119,51,1.1674955929604558
2024-11-11,25.78063183499433,35,7.113846046665281
2024-04-17,16.842540496910814,72,3.516876754957382
2025-01-29,10.890128101046912,22,1.8900310036931345
2024-10-21,-1.4132157312156082,89,4.6334304715390395
2024-05-20,4.439249077983446,69,3.883431652061835
2024-05-10,23.05511297915441,56,2.368349700214003
2024-12-04,11.780938284048851,27,9.232438536752309
2024-12-14,-2.316135430463814,37,1.4762616073716228
2024-12-03,32.250814799903864,82,1.5924991117720655
2024-04-27,26.64279367098152,87,3.8395454953766803
2024-07-17,33.80519653652845,45,3.948527833789377
2024-10-13,14.944709929560833,40,4.256250812000959
2024-04-11,24.546353984872972,59,8.419656293817484
2024-09-06,2.618234694458719,64,8.887787545385672
2025-01-28,35.84765319356769,88,3.005935910654629
2024-10-25,33.927911753703484,44,8.916850528410954
2025-03-11,11.810226914570418,61,3.9948207205536956
2024-09-27,25.367929446922624,33,9.968196953480863
2025-02-20,14.95678321662642,72,5.367762352231583
2025-03-19,14.999229269984628,74,1.2038575614358937
2024-11-30,-3.57481562320436,63,1.5544851135891813
2024-11-17,-3.9790513496193807,75,9.218356230470258
2024-04-13,9.349238195764919,81,2.2114152803684215
2024-08-03,29.95796634856429,26,6.774830998824648
2024-11-21,33.72427501485976,75,3.873349483375889
2024-12-06,21.58548961291816,47,4.450211188510895
2024-08-05,29.761714961511785,30,4.838543575771206
2025-03-10,-9.429389532456035,27,6.019043672132362
2024-10-26,17.010368682811993,74,4.106149446036735
2025-02-12,31.399779124181308,85,3.3560649864616767
2024-12-20,28.92127889869986,100,1.2442448240356097
2025-02-10,39.54338102741016,60,7.16705546496335
2024-11-03,6.259382567827778,40,1.194266448559873
2024-08-05,29.191693617382597,29,5.533789179514653
2024-04-20,5.897679467122117,84,8.58508818514487
2025-01-09,20.238140543603365,78,9.955773738561188
2024-08-14,22.422192783367286,94,5.680913137776135
2024-05-25,-1.8021962444424524,62,6.292170562360848
2024-09-23,37.58614565436802,66,8.417074644519428
2024-09-28,-2.455947596356131,87,8.30084693836992
2025-01-31,13.423033464755555,23,0.6025026996179184
2024-08-12,16.60387536534009,86,6.5057643214451355
2024-11-10,33.9874513418029,51,5.816558775656283
2024-08-28,11.612335663258591,59,5.8960859005058195
2024-12-05,-6.645226902776582,79,3.8562089623911042
2024-11-03,15.368782043929649,47,8.920303668017139
2025-01-01,27.282324633832168,31,8.218538383731392
2024-08-17,24.528067455402628,20,4.03932077166896
2024-09-22,34.64915184900019,34,5.639011128869696
2025-01-21,33.782693179126234,88,3.0880477760099967
2024-12-03,21.77398235065891,48,4.572294049278755
2024-07-13,33.96365057361453,50,9.721880903670925
2024-07-02,6.393615422191836,44,6.049321015950202
2024-06-15,30.510367232505963,98,8.454759197788961
2024-11-11,25.556767778740692,57,1.8315125103412844
2024-03-20,9.374312203873611,77,2.1077151563950016
2024-10-10,34.78476035533488,34,8.572735782733671
2024-05-08,-9.040852694174658,46,1.2647954577098652
2024-10-23,26.26916533474226,74,2.7314867461511962
2024-09-11,21.2020392428436,39,8.546967861455233
2024-12-11,36.78750982065061,76,7.728689681848387
2024-05-16,15.411552524593844,82,6.384729131971252
2024-10-07,-6.281815301728196,62,9.655970133667445
2024-06-14,14.438234006343983,85,0.6034137020747177
2025-01-03,21.191877026270102,88,2.389301684410335
2024-10-19,-8.768908436492787,83,9.59049318604294
2024-11-27,-8.974229222448162,27,0.3354692373937307
2024-03-27,3.8114555774570817,59,8.630719446927486
2024-09-06,-5.201182804710783,82,7.208443336318324
2025-03-14,27.590914778557824,90,7.953884575270313
2024-07-08,7.958934996479247,20,2.8698480227506886
2025-03-14,29.321325260574994,30,4.891321517710092
2024-04-14,23.715236300054137,98,8.097202153101824
2024-07-25,-9.502610487201771,92,4.934493574606496
2025-03-11,18.383474783330797,38,8.352438722357347
2024-06-30,10.835402122027887,88,9.474594674466218
2025-02-12,7.825911188456349,55,3.0716170205537887
2024-07-22,-9.026874019747007,24,1.3781516915357717
2024-07-15,32.081199252726975,20,2.8628995582798975
2024-08-23,23.009960053299963,52,3.9940988907881945
2024-04-26,21.394660834282995,56,4.237017690059661
2024-08-27,2.094149654199576,40,2.632790922109259
2024-09-12,7.053608392414326,96,7.458398410623363
2024-04-20,12.563127358384527,88,7.804552431242952
2025-01-16,11.47449809549832,31,7.959852631148959
2024-07-11,19.89981434619015,49,9.421763530155724
2024-08-20,16.243255725065552,26,4.175236120835095
